clust_HDDS,clust_HDDS_ipczone_predict_m3
4.5,4.8849297
3.875,4.8919792
5.6875,4.8919792
4.0625,4.4877663
4.3125,4.7974749
4.875,4.6695652
3.5625,5.1649022
4.0625,4.471736
4.3125,4.471736
3.75,5.1649022
3.125,5.1649022
6,5.1649022
3.6875,4.6302366
4.75,4.6302366
5.8125,4.6302366
3.875,4.6302366
4.4375,4.3306246
4.75,5.183764
5.0625,5.183764
6.1875,6.0355983
5,4.8768597
4.5,4.8768597
3.625,4.8151174
4.4375,4.4124169
4.125,5.0548453
5.0625,5.0548453
5.6875,5.1370654
4.8125,5.1370654
4.75,5.2998357
5.0625,5.2998357
5.125,5.1358013
6.1875,5.1358013
4.8125,4.6904316
5.6875,4.7508168
5.125,4.4880214
4.3125,4.6461339
3.8125,4.6461339
4.6875,4.795846
4.125,4.795846
4.3125,4.1932406
3.9375,4.1932406
5.0625,5.0086226
6,5.5068569
4.75,5.0553298
5.8125,5.2565646
4.625,5.2565646
5.9375,4.8151174
6.125,5.2293844
6.1875,6.2392879
6.3125,5.7784104
4.5625,4.9546642
4.1875,4.8096614
4.1875,5.2135944
5.375,5.2014713
4.8125,5.2014713
5.5625,5.5589399
5.375,5.6027036
4.4375,4.9397936
4.6875,5.2734828
5,5.2734828
5.9375,5.2734828
4,4.9485717
4,5.0399518
4.375,5.0399518
4.5,4.7841039
4.1875,4.7841039
3.875,4.7685547
4.4375,4.7685547
4,4.7415242
4.3125,4.5521531
4.5625,4.5521531
4.4375,4.5521531
4.9375,4.4276795
4.1875,4.4276795
4,4.1399488
3.875,5.2026658
5.9375,5.9940829
4.75,5.9940829
4.8125,4.7415242
5.125,4.9141331
4,5.087328
5,4.4387231
4.875,5.1165795
5.9375,5.2365446
4.8125,4.5842981
4.625,5.2757683
6,5.7901258
4.5625,5.0684443
4.75,5.0684443
4.75,4.8930578
5.5625,4.8930578
3.5,4.7181873
4.25,4.7461696
3.75,4.7461696
4,4.8181572
5.0625,4.8181572
4.5625,4.377192
4.1875,5.4542084
5.3125,5.4542084
4.5625,4.903965
6,5.4157367
6.375,5.4157367
6.375,6.1619086
6.75,5.7901258
