clust_HDDS,clust_HDDS_TA_predict_m3
5.125,5.2979121
5.75,5.0267553
4.6875,5.0317259
5.6875,
5.0625,
5.125,
6.125,
4.75,
4.8125,
4.875,
5.5,
4.125,
4.75,4.7314591
4.125,4.9227753
4.8125,
6.0625,5.9931111
6,5.921701
6.75,
6.25,
5.375,4.9272127
4.9375,4.7312751
4.75,4.930326
5.75,5.577857
5.5,5.5385876
6.6875,6.1732883
4.25,4.6747437
4,4.8283067
5.6875,6.1446042
5.375,5.0011654
4.875,5.0633988
4.5,4.7553706
3.875,4.9958901
5.6875,5.7922063
4.0625,4.7801538
4.3125,4.9075823
4.875,4.9153471
3.5625,4.9297261
4.0625,4.6828661
4.3125,5.4776454
3.75,5.0190053
3.125,5.0810227
6,5.7906013
3.6875,5.1433139
4.75,4.79001
5.8125,5.4332366
3.875,4.1512175
4.4375,4.6377497
4.75,5.1877289
5.0625,5.256319
6.1875,6.2915783
5,4.8417749
4.5,4.7426057
3.625,4.7240434
4.4375,4.7138896
4.125,5.1926293
5.0625,5.0281458
5.6875,5.3104906
4.8125,5.0758781
4.75,5.3682323
5.0625,5.3567157
5.125,4.9892044
6.1875,6.0856338
4.8125,4.5982947
5.6875,5.3714104
5.125,5.2979121
4.3125,4.8642879
3.8125,4.8642879
4.6875,4.6186957
4.125,4.2690639
4.3125,4.7284355
3.9375,4.5391688
5.0625,4.9433699
6,5.8868756
4.75,4.8029485
5.8125,5.2884507
4.625,5.2884507
5.9375,5.634284
6.125,5.665328
6.1875,6.1434846
6.3125,6.4644356
4.5625,4.7680235
4.1875,4.9912024
4.1875,5.3135939
5.375,5.3695297
4.8125,5.126081
5.5625,5.3665872
5.375,5.0893688
4.4375,5.0293574
4.6875,5.3842316
5,6.0580339
5.9375,5.8846312
4,5.0806413
4,5.3242717
4.375,4.9338546
4.5,4.856566
4.1875,4.813993
3.875,5.1146355
4.4375,4.9100065
4,4.8250909
4.3125,5.0178576
4.5625,4.8401756
4.4375,4.7270403
4.9375,4.8350315
4.1875,4.5286846
4,4.6792216
3.875,5.0537572
5.9375,6.0314355
4.75,5.1055408
4.8125,4.9056268
5.125,4.8790078
4,4.844141
5,4.5395341
4.875,5.1465621
5.9375,5.4936175
4.8125,5.0182309
4.625,5.0918202
6,5.3567157
4.5625,4.9114156
4.75,4.9892044
4.75,5.4469976
5.5625,5.3714104
3.5,4.9105749
4.25,4.8642879
3.75,4.793376
4,4.6186957
5.0625,5.1501932
4.5625,4.6173911
4.1875,5.2315249
5.3125,5.0196147
4.5625,4.8029485
6,5.9511318
6.375,6.3640242
6.375,6.095798
6.75,6.5462127
