ea_id,LAT_DD_MOD,LON_DD_MOD
10507175,-12.818767,33.64211
10505136,-11.7313,33.5342
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.571618,33.47354
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507344,-14.047196,33.339921
10507175,-12.6592,33.6304
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507344,-12.5306,33.6027
10507344,-14.265127,34.423639
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507175,-12.565321,33.713936
10507175,-12.732695,33.656655
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.56589,33.511748
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10507175,-12.6592,33.6304
10507344,-12.5306,33.6027
10510388,-12.2419,33.4716
10510388,-12.2419,33.4716
10507344,-12.5306,33.6027
10507344,-12.50051,33.62089
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10509319,-11.472121,34.021166
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10510388,-12.308132,33.562445
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10510388,-13.958295,33.819975
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10509319,-11.3433,33.6194
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10510388,-12.2419,33.4716
10509319,-11.3433,33.6194
10733640,-11.4398,34.0331
10733640,-11.4398,34.0331
10509319,-11.22598,33.888997
10733640,-11.949952,34.118023
10732192,-11.4076,33.9949
10733640,-13.95682,33.80948
10732192,-11.4076,33.9949
10733640,-11.4398,34.0331
10733640,-15.393901,35.358411
10732192,-11.4076,33.9949
10732192,-10.3457009329,33.6856343249
10733640,-11.4398,34.0331
10732192,-11.895031,33.586788
10733640,-14.002585,33.757231
10732192,-11.4076,33.9949
10733640,-11.4398,34.0331
10733640,-14.0063887102,33.8258828387
10732192,-11.4076,33.9949
10732192,-11.4076,33.9949
10733640,-11.412552,33.999917
10732192,-11.4076,33.9949
10733640,-11.399111,33.98785
10732192,-11.4076,33.9949
10733640,-11.4398,34.0331
10732192,-11.4076,33.9949
10733640,-11.4398,34.0331
10733640,-15.503328,35.24788
10732192,-13.962669,33.733803
10733640,-11.4398,34.0331
10733640,-13.853051,33.505175
10732192,-13.767854,33.79593
10733640,-11.4398,34.0331
10733640,-14.502915,34.453509
10733640,-15.812064,35.040732
10732192,-11.4076,33.9949
10732192,-11.349174,33.888682
10733640,-13.873284,33.766807
10732192,-11.4076,33.9949
10734370,-11.433,34.0235
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734370,-13.025148,33.515565
10734762,-11.4275,34.028
10734370,-11.554856,34.222821
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734762,-14.005413,33.838202
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734370,-16.103328,34.514921
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734370,-9.955413999999999,33.940836
10734762,-11.4275,34.028
10734370,-11.433,34.0235
10734370,-11.433,34.0235
10734762,-11.4275,34.028
10734762,-11.4275,34.028
10734762,-11.4275,34.028
10736596,-11.4556,33.9885
10734762,-11.4275,34.028
10736596,-11.4556,33.9885
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10735173,-11.4669,34.0078
10735173,-11.421743,33.898372
10735173,-11.229635,33.857466
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10736596,-11.832859,33.67826
10736596,-12.618467,34.172004
10736596,-13.361084,33.581789
10736596,-13.501476,33.867774
10736596,-12.61559,34.159081
10735173,-11.4669,34.0078
