logFCS,logFCS_new
4.2195077,3.7015412
3.5263605,3.7015412
3.4657359,3.7015412
3.3672957,3.7015412
3.6888795,3.7015412
3.3843904,3.7015412
3.8177123,3.7015412
3.6375861,3.7015412
3.48124,3.7015412
3.6109178,3.7015412
3.6375861,3.7015412
3.1354942,3.6863875
3.9318256,3.6863875
3.4339871,3.6863875
3.7256935,3.6863875
3.871201,3.6863875
3.871201,3.6863875
4.0943446,3.6863875
3.9796817,3.6863875
3.4177268,3.7015412
3.0445225,3.6863875
3.9318256,3.6863875
3.1570003,3.6863875
3.3843904,3.6863875
3.7727609,3.6863875
3.0445225,3.7010531
3.9982007,3.4254384
3.624341,3.7015412
3.5263605,3.7015412
3.3672957,3.7015412
3.9796817,3.7015412
3.2188759,3.7015412
3.2771447,3.7015412
3.4011974,3.7015412
3.3141861,3.7015412
3.9982007,3.7015412
4.0943446,3.7015412
4.0775375,3.7015412
4.2341065,3.7015412
3.3322046,3.7015412
3.4965076,3.7015412
3.4011974,3.7015412
4.0775375,3.7015412
3.0445225,3.7015412
3.7612002,3.7771676
3.8394523,3.6995168
3.7727609,3.7771676
3.4965076,3.7771676
3.583519,3.7771676
4.1026435,3.5373545
4.5643482,3.7771676
3.4339871,3.7771676
3.9512436,3.7771676
4.0253515,3.7771676
3.8177123,3.7771676
3.871201,3.7771676
3.7013021,3.7771676
4.3820267,3.7771676
4.5379615,3.7771676
3.8066626,3.7771676
4.2556129,3.7771676
3.8501475,3.7771676
3.4657359,3.7771676
4.0073333,3.7771676
3.9415817,3.7771676
4.1896548,3.7771676
4.0073333,3.7771676
3.2188759,3.7771676
4.1108737,3.7127054
3.9120231,3.7771676
3.7954891,3.7771676
4.2556129,3.7771676
3.9019728,3.7771676
3.8066626,3.7771676
3.8286414,3.7771676
3.8815639,3.7771676
3.8066626,3.7089622
3.9120231,3.7089622
3.6109178,3.7089622
3.5695326,3.7089622
3.6635616,3.7089622
4.3944492,3.7089622
3.9120231,3.7089622
3.871201,3.7089622
4.1431346,3.7089622
3.4011974,3.7089622
3.9318256,3.7089622
3.9318256,3.7089622
3.9120231,3.7089622
3.6888795,3.7089622
3.7727609,3.7089622
3.4011974,3.7089622
4.2341065,3.7089622
3.6109178,3.7089622
3.583519,3.7089622
3.8501475,3.7268653
3.8177123,3.7268653
4.1271343,3.7853799
3.8066626,3.7607071
3.7727609,3.7268653
4.3820267,3.7268653
3.8066626,3.7268653
4.0604429,3.7653272
3.9702919,3.747988
4.051785,3.7268653
4.1820502,3.7268653
3.9019728,3.7268653
4.3307333,3.7268653
3.5263605,3.7268653
4.4773369,3.7268653
3.3672957,3.7268653
3.9702919,3.7268653
3.8607297,3.7268653
4.2696977,3.7127054
3.871201,3.7513492
4.1431346,3.7268653
3.5553482,3.7268653
3.6375861,3.7268653
4.1510401,3.7853799
3.8066626,3.7653272
3.6506581,3.7853799
3.4965076,3.7853799
3.9019728,3.7853799
3.2188759,3.7853799
3.624341,3.7853799
3.9982007,3.7853799
3.5115454,3.7853799
3.4965076,3.7853799
3.3499041,3.7853799
3.871201,3.7853799
4.1588831,3.7853799
3.8918202,3.7853799
4.4308167,3.7853799
3.6109178,3.7513492
3.7612002,3.7513492
3.583519,3.7513492
3.7841897,3.7513492
3.6888795,3.7513492
3.48124,3.7513492
3.6635616,3.7513492
3.7013021,3.7513492
4.3438053,3.7089622
3.2580965,3.7513492
3.8286414,3.7513492
3.7495041,3.8456037
3.3141861,3.8456037
3.5409594,3.8456037
3.583519,3.8456037
3.7495041,3.8456037
4.2626801,3.8456037
3.624341,3.8456037
4.2835865,3.8456037
4.0775375,3.8456037
3.3141861,3.8456037
3.6109178,3.8456037
3.4499876,3.8456037
3.4657359,3.8456037
4.5747108,3.6143496
4.0430512,3.6143496
4.2904596,3.6143496
3.4657359,3.7526846
4.1190372,3.6143496
4.2766662,3.6143496
4.0604429,3.6143496
4.3438053,3.6143496
4.4426513,3.6143496
4.5217886,3.7127054
3.871201,3.7108121
4.4886365,3.683876
3.871201,3.4254384
4.0604429,3.7127054
4.0253515,3.7127054
3.8286414,3.7127054
3.4965076,3.7127054
3.3672957,3.7853799
3.7841897,3.7127054
3.6109178,3.7127054
4.5325994,3.6143496
3.6375861,3.7127054
3.871201,3.7127054
4.0253515,3.7127054
