"","FNID","date","V","IPC","chirps_mean","chirps_min","chirps_max","EFF_YEAR","COUNTRY","ADMIN2","ADMIN3","chirps_mean_w.sum","chirps_max_w.sum","chirps_min_w.sum","price_mean","FNID_OLD.y","price_w"
"5365","MW2012C3030716","2013-01","V32"," 2",244.8961771,216.5230713,279.3043213,2012,"MW","Thyolo",NA,683.046213671195,779.014851865435,603.910055988878,101.98686,"10922716",137.233522190712
"5366","MW2012C3030716","2013-02","V32",NA,212.7763575,142.7277527,251.2599182,2012,"MW","Thyolo",NA,593.460000356712,700.795487320999,398.085638665258,124.46064,"10922716",170.654219157144
"5367","MW2012C3030716","2013-03","V32"," 2",117.8126876,88.88114166,146.3128815,2012,"MW","Thyolo",NA,328.594391062086,408.085013426276,247.900673650965,136.74358,"10922716",191.483344606345
"5368","MW2012C3030716","2013-04","V32"," 1",83.62434214,52.31910706,116.6392288,2012,"MW","Thyolo",NA,233.238799175488,325.321467002059,145.924564454914,109.18846,"10922716",144.687066542539
"5369","MW2012C3030716","2013-05","V32",NA,34.06915951,19.70965958,56.0100174,2012,"MW","Thyolo",NA,95.0231672941271,156.218977224401,54.9727174523019,95.58782,"10922716",124.155607021964
"5370","MW2012C3030716","2013-06","V32",NA,18.2876239,9.129979134,32.54987335,2012,"MW","Thyolo",NA,51.0064812356675,90.7856872674491,25.4646591556603,95.64302,"10922716",126.241342382131
"5371","MW2012C3030716","2013-07","V32"," 1",22.31560774,10.65604973,32.50756073,2012,"MW","Thyolo",NA,62.2410343561815,90.6676720529049,29.7210618269323,102.27102,"10922716",140.210832133965
"5372","MW2012C3030716","2013-08","V32",NA,15.22212291,7.004488945,25.89553452,2012,"MW","Thyolo",NA,42.4564137375954,72.2259000296894,19.5363999113402,109.477368,"10922716",153.557214124085
"5373","MW2012C3030716","2013-09","V32",NA,14.79457667,8.045952797,24.79432678,2012,"MW","Thyolo",NA,41.2639335451337,69.1544932556863,22.4411734737855,116.683734,"10922716",166.903619386135
"5374","MW2012C3030716","2013-10","V32"," 2",48.94162122,28.9758091,61.84476089,2012,"MW","Thyolo",NA,136.504332003518,172.49281006157,80.8171729268466,117.045998,"10922716",169.034177317374
"5375","MW2012C3030716","2013-11","V32"," 2",60.36161397,50.87351227,70.43294525,2012,"MW","Thyolo",NA,168.356126916817,196.446335505999,141.892618919851,117.408264,"10922716",171.16473122479
"5376","MW2012C3030716","2013-12","V32",NA,180.687526,158.30336,204.4341736,2012,"MW","Thyolo",NA,503.960216747359,570.192601109737,441.527964788422,121.15809,"10922716",178.974436786969
"5377","MW2012C3030716","2014-01","V32"," 2",282.6221144,248.5909119,335.2436218,2012,"MW","Thyolo",NA,788.268593763472,935.036590768848,693.351293340236,137.677998,"10922716",208.040170188956
"5378","MW2012C3030716","2014-02","V32"," 2",277.3421811,234.3333282,335.0866089,2012,"MW","Thyolo",NA,773.542196268387,934.598662059169,653.585100671542,117.652484,"10922716",179.458401551289
