"case_id","LAT_DD_MOD","LON_DD_MOD","rcsi","logfcs","hdds"
"1888-001",-14.0548,33.7077,2.93585850975087,3.78574881093355,5.06397638557666
"2015-001",-14.4791,34.8262,4.02439429338844,3.67740205583838,4.6113324793415
"1972-001",-14.3252,35.4255,4.01494425486258,3.64584800535039,4.5613323701654
"2018-001",-14.4717,35.6096,4.33315218454049,3.64918114735278,4.41858882595375
"2062-001",-14.1404,35.2154,4.06684258705597,3.6731308031313,4.56366733823822
"2145-001",-14.6999,35.608,3.83483382530629,3.58763805067256,4.27724170038775
"2172-001",-14.7246,35.7083,4.38971056985245,3.53993839722074,4.08856265391684
"2252-001",-15.2318,35.3224,2.36800735373292,4.06244547932157,5.90012866058582
"2335-001",-15.8295,35.2618,3.42469815699552,3.80243833070819,5.12176593849818
"2421-001",-15.737,34.3852,3.77492509800612,3.75370893340238,4.86704057666098
"2477-001",-16.2456,35.1789,3.20572422261554,3.7252468716142,4.79633272481536
"2392-001",-16.1982,35.158,3.27904537540388,3.6888036694521,4.66563494300712
"2537-001",-15.9499,35.1136,3.25680942935668,3.73554405639661,4.92384203474219
"2508-001",-16.0832,35.5824,4.02246240150644,3.79711403815093,4.85125508203988
"2534-001",-16.0375,35.3545,3.7173715206323,3.71020513548027,4.78715146799199
"2655-002",-16.0066,35.322,2.22433073792463,3.97402260369446,5.72097821762909
"2654-001",-15.7071,35.6456,5.18415976163262,3.50911938948215,4.17028486174193
"2725-001",-16.3153,34.6917,NA,NA,NA
"2752-001",-16.3024,35.0298,4.89521707488297,3.6842525660721,4.53626440190231
"2849-002",-14.9258,35.0165,3.27930068233716,3.77719151924977,4.9484875064899
"2832-001",-15.2301,35.1343,3.43166636962796,3.76045628309256,4.87170538941465
"2874-001",-15.3905,35.2944,2.72521771816535,3.8220027258592,5.13316709938273
"2925-003",-15.461374,35.29429,1.09773343480387,4.1323336065961,6.0371989002643
"2924-002",-15.4002,35.3405,3.14071006426008,3.81195047620538,5.11528148549853
"3069-001",-15.3824,35.3423,1.69639828995436,4.11219840823186,6.10279476269051
"3020-001",-15.4042,35.3314,2.72350161209131,3.95178692739769,5.55314833109768
"3114-001",-15.7536,34.9929,1.77393854907903,4.04913167247635,5.93396493515613
"3175-001",-15.8105,35.0913,2.00865607984042,3.90829228594532,5.56453550767979
"3210-003",-15.8552,35.0737,2.35234525508802,3.85719987893308,5.35561294693773
"0094-001",-9.9716,33.3739,3.14700530389964,3.67056842230728,4.52748985205521
"0188-001",-10.0405,33.9087,3.29951909861595,3.84479912862389,5.00628035442483
"0224-010",-10.457141,34.178137,3.60219711315841,3.75423128515662,4.78256585172512
"0181-001",-10.4163,34.2318,2.62824388138875,4.0181634810251,5.7589451469141
"0246-001",-9.9754,33.926,3.07485469660514,3.85526178785969,5.12543313469919
"0233-005",-11.6477,34.125,2.77719373470591,3.90457237410878,5.07146508461807
"0290-001",-11.5364,34.278,3.47228244522389,3.83474503816536,4.94425263319522
"0392-001",-10.16112,33.998054,3.40107098357612,3.84782689993339,4.88654345728848
"0477-002",-11.285,33.7785,3.15720513657632,3.6145534546668,4.49787481069163
"0476-001",-11.3927,33.6488,3.26742043559982,3.68380196144373,4.71376872836074
"0537-001",-11.7313,33.5342,3.77935365444019,3.57735453859872,4.27122587221913
"0530-001",-11.7819,33.5,3.68941343951613,3.66662000120542,4.69687268325617
"0618-001",-11.4398,34.0331,0.40325170769473,4.52553518104144,7.27431010326217
"0794-001",-13.0738,33.4721,3.28749416635685,3.69118632129897,4.68300068146307
"0775-001",-12.8937,33.373,3.60884911509741,3.68877618476543,4.68848220305058
"0822-001",-13.3488,33.4404,4.05027851832995,3.6477423395453,4.56816011736224
"0937-003",-13.2305,34.0093,3.59691774541285,3.61022623583133,4.39214556796537
"0990-001",-13.7921,34.1602,3.76097328901888,3.65153592412957,4.45578799375212
"1090-002",-14.0755,33.9183,1.95825956447983,4.03140304090097,5.92101479483036
"1130-001",-14.0368,33.3451,2.93684707683727,3.89859224614309,5.43320303390801
"1167-001",-14.2749,33.7597,2.61381257960165,3.84136382250508,5.34324909973366
"1198-002",-14.0153,34.0639,3.53904228455692,3.55370411725477,4.3249268407232
"1191-001",-14.023,34.0863,3.3243230184799,3.55579108905097,4.29048600676106
"1261-007",-14.1045,34.0018,3.3096961312268,3.62165288584482,4.53662236230168
"1242-001",-14.1601,34.0345,3.33837028845122,3.68549985203821,4.72825127746245
"1303-001",-13.9694,33.6318,3.26721284424684,3.59991965967972,4.39486899710183
"1274-001",-14.033,33.5159,3.23425179246086,3.69784918272915,4.8268908029986
"1371-001",-13.6713,33.026,3.87795955110749,3.62300473611531,4.50219485470555
"1394-001",-14.3763,34.0394,2.95041260021494,3.61744325122224,4.49776821460058
"1564-001",-14.6514,34.6256,3.43601376693214,3.69392346969514,4.66666481795915
"1752-001",-14.0239,33.778,2.38922695807272,4.04126024974725,5.89904052923596
"1773-001",-14.0209,33.7746,2.14835719634296,3.94423970905142,5.63547694628188
"1920-001",-14.5244,35.0888,4.04146547704777,3.66300440455377,4.55776013178955
"1963-001",-14.63,35.1033,3.4708030730185,3.68389542368637,4.6393796531905
"1952-001",-14.7688,35.0315,3.67925723026183,3.67721992910739,4.65515393614574
"2106-001",-15.0513,35.4605,3.48293693584921,3.75173345169155,4.9776095916855
"2141-001",-14.9969,35.5521,4.25374626206308,3.59725453793395,4.45678966606846
"2203-001",-15.4882,35.557,5.10026603119758,3.5440269797526,4.22782259131985
"2194-001",-15.5698,35.4256,3.51081487494502,3.71374791748866,4.71397605011091
"2267-001",-15.6474,35.3431,3.51239473604901,3.64063415696679,4.60147762590637
"2312-001",-15.6556,35.0184,3.300947809932,3.73484838898225,4.98905798649565
"2447-001",-15.6058,34.5184,2.33397231274057,4.03274564421487,5.91589563156167
"2519-001",-16.088,35.0681,2.44425468667608,3.81283095025257,5.17603567022593
"2438-001",-16.155,35.1218,2.25226493199316,3.95784710896959,5.54207803703282
"2599-001",-16.1134,35.4092,4.32002520887972,3.64820814254853,4.4218041213445
"2620-002",-15.5763,35.5519,5.60405376748367,3.46510100547094,4.02407483757448
"2719-004",-15.6689,35.589,5.28475913235173,3.4805478801878,4.03674622532569
"2710-001",-16.0204,34.9201,4.12581149463052,3.74715157744016,4.80864837399733
"2791-003",-15.734609,34.82866,3.92115882689566,3.68022312834025,4.66082885152452
"2790-001",-15.0706,35.1704,3.37184669754346,3.74333072687328,4.88028675363944
